@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
131.050000,130.230000,154.550000,1.327500,0.197100,0.267500,213.910000,350.921900,class0
132.700000,130.050000,154.530000,0.830000,0.067500,0.249100,192.240000,50.262400,class0
133.530000,129.640000,154.290000,0.389100,0.450400,0.365900,182.780000,17.431600,class0
133.240000,129.120000,154.050000,1.002400,0.505600,0.387500,180.180000,15.287600,class0
132.720000,128.520000,154.400000,0.681600,0.549600,0.420000,178.470000,15.769100,class0
132.780000,127.780000,154.610000,0.231600,0.251600,0.277900,185.070000,711.165100,class0
132.480000,127.150000,154.280000,0.849600,0.587500,0.321600,211.600000,1242.840000,class0
130.700000,126.840000,154.140000,3.070000,0.674400,0.480400,235.890000,1684.897900,class0
128.950000,127.180000,154.380000,1.307500,0.787600,0.715600,340.890000,12441.917900,class0
129.210000,127.600000,154.690000,0.945900,0.400000,0.413900,365.980000,7048.999600,class0
130.460000,128.130000,154.520000,0.908400,0.333100,0.249600,279.950000,436.747500,class0
131.070000,128.470000,154.420000,0.785100,0.249100,0.343600,273.260000,109.012400,class0
130.980000,128.110000,154.520000,0.359600,0.417900,0.349600,291.720000,2407.901600,class0
130.190000,127.850000,154.370000,0.913900,0.347500,0.353100,389.970000,9788.629100,class0
129.700000,127.920000,154.260000,0.490000,0.213600,0.372400,484.660000,427.344400,class0
129.630000,127.940000,154.560000,0.233100,0.056400,0.306400,442.310000,3016.113900,class0
129.750000,127.730000,154.550000,0.447500,0.197100,0.247500,360.850000,1213.247500,class0
130.800000,126.920000,154.330000,1.040000,0.713600,0.601100,414.020000,15754.959600,class0
131.190000,126.390000,154.480000,0.933900,0.617900,1.049600,690.780000,141541.551600,class0
131.880000,128.180000,154.470000,2.685600,3.907600,0.969100,701.100000,220733.350000,class0
133.690000,129.160000,154.170000,2.313900,4.014400,0.621100,347.010000,121578.189900,class0
136.980000,129.330000,153.280000,7.159600,4.581100,0.841600,245.040000,5982.478400,class0
137.990000,129.580000,152.860000,3.789900,3.503600,0.500400,321.700000,804.390000,class0
137.240000,128.970000,152.750000,7.802400,3.789100,1.627500,352.440000,703.026400,class0
141.410000,130.070000,151.610000,19.881900,2.585100,2.317900,373.200000,155.780000,class0
140.770000,129.030000,152.010000,18.997100,4.649100,2.289900,351.470000,515.069100,class0
136.780000,127.670000,153.190000,0.971600,1.161100,0.753900,326.830000,268.981100,class0
137.190000,128.630000,152.930000,2.693900,0.653100,0.825100,306.460000,425.508400,class0
141.280000,129.660000,151.380000,19.601600,1.024400,2.895600,322.680000,1179.257600,class0
145.200000,130.590000,149.780000,3.380000,0.481900,1.191600,356.170000,113.921100,class0
146.300000,130.580000,148.740000,1.730000,0.503600,1.192400,355.070000,62.245100,class0
147.910000,131.040000,147.840000,0.981900,0.918400,0.554400,338.670000,226.681100,class0
