@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
125.030000,133.400000,91.800000,7.329100,1.220000,3.620000,class0
127.230000,132.000000,91.500000,3.097100,1.060000,0.610000,class0
127.910000,131.120000,91.890000,0.081900,0.145600,0.097900,class0
128.180000,131.000000,91.860000,0.147600,0.000000,0.120400,class0
128.380000,131.140000,91.780000,0.235600,0.120400,0.171600,class0
128.660000,131.250000,91.920000,0.224400,0.187500,0.073600,class0
129.380000,130.870000,91.390000,0.395600,0.893100,1.857900,class0
130.500000,128.690000,91.370000,0.870000,4.113900,2.413100,class0
131.800000,126.490000,91.790000,0.820000,0.269900,0.825900,class0
132.560000,126.280000,91.970000,0.306400,0.201600,0.749100,class0
132.490000,126.690000,91.890000,0.409900,0.213900,0.797900,class0
132.290000,126.910000,91.480000,0.305900,0.081900,0.369600,class0
132.210000,126.850000,91.300000,0.185900,0.167500,0.470000,class0
132.220000,126.490000,91.560000,0.291600,0.329900,0.766400,class0
131.900000,126.180000,91.690000,0.790000,0.967600,0.673900,class0
130.340000,126.800000,91.710000,2.044400,1.340000,0.625900,class0
127.820000,128.220000,91.850000,3.087600,1.531600,1.687500,class0
126.150000,129.900000,91.350000,1.767500,2.590000,1.987500,class0
123.970000,131.570000,91.570000,7.889100,2.465100,1.645100,class0
125.300000,131.410000,91.910000,14.150000,1.761900,1.161900,class0
129.160000,130.110000,91.710000,1.194400,0.317900,0.465900,class0
130.410000,129.890000,91.840000,0.881900,0.097900,0.254400,class0
130.780000,130.000000,92.000000,0.171600,0.000000,0.000000,class0
130.260000,129.480000,91.580000,0.572400,0.349600,0.243600,class0
129.120000,128.890000,91.270000,1.165600,0.437900,0.197100,class0
129.090000,128.940000,91.230000,0.801900,0.616400,0.337100,class0
129.490000,129.030000,91.360000,0.249900,0.249100,0.390400,class0
129.110000,129.000000,91.510000,0.097900,0.000000,0.249900,class0
129.070000,129.000000,91.690000,0.065100,0.000000,0.213900,class0
129.000000,129.000000,91.890000,0.000000,0.000000,0.097900,class0
129.100000,129.000000,91.570000,0.090000,0.000000,0.245100,class0
129.100000,129.320000,91.680000,0.090000,0.217600,0.217600,class0
129.670000,129.100000,90.040000,0.821100,1.310000,13.638400,class0
128.540000,132.290000,91.260000,5.268400,22.005900,40.472400,class0
127.580000,130.690000,95.040000,3.843600,62.633900,56.038400,class0
132.780000,129.940000,93.240000,22.931600,58.996400,57.122400,class0
136.660000,134.750000,91.370000,25.164400,15.927500,31.733100,class0
130.740000,133.190000,92.150000,52.432400,10.053900,16.067500,class0
124.910000,131.000000,91.430000,1.341900,3.480000,2.265100,class0
125.530000,131.090000,91.150000,3.989100,5.501900,8.607500,class0
125.630000,131.530000,91.920000,4.493100,4.789100,7.613600,class0
121.750000,130.530000,92.460000,14.907500,1.909100,0.768400,class0
117.900000,129.740000,93.150000,5.510000,0.192400,0.727500,class0
